gender,tenth_board,tenth_marks,twelfth_board,twelfth_marks,Stream,cgpa,cgpa_category,internship,training,has_backlogs,project,communication_score,communication,technical_score,skill_score,placement
Female,CBSE,81.8,ISE,63.5,Electronics and Communication Engineering,7.04,Average,1,1,1,0,4,Good,1,7,0
Male,State Board,73,Other state Board,84,Computer Science and Engineering,7.12,Average,0,1,0,0,3,Average,1,5,0
Female,ICSE,76.4,Other state Board,66.2,Computer Science and Engineering,8.66,High,1,1,0,0,2,Below Average,1,5,0
Female,ICSE,83.9,WBCHSE,93.5,Chemical Engineering,8.13,High,0,1,1,1,5,Excellent,0,7,0
Female,State Board,90.5,Other state Board,83.1,Computer Science in Data Science,8.27,High,1,0,1,0,3,Average,1,5,0
Female,ICSE,94,CBSE,74.7,Civil Engineering,8.71,High,0,0,1,0,4,Good,0,4,0
Male,CBSE,85.9,ISE,76.9,Electronics and Communication Engineering,8.85,High,1,1,0,1,5,Excellent,1,9,1
Female,WBBSE,98.5,WBCHSE,69.8,Computer Science and Engineering,8.47,High,0,0,0,1,2,Below Average,1,4,0
Male,ICSE,90.6,Other state Board,64.2,Computer Science and Engineering,7.09,Average,0,1,1,0,1,Poor,0,2,0
Female,CBSE,97.2,CBSE,96.4,Computer Science and Engineering,8.26,High,1,1,1,1,3,Average,1,7,0
Female,WBBSE,89.2,WBCHSE,89.7,Computer Science and Design,8.33,High,1,0,1,0,2,Below Average,0,3,0
Female,State Board,97.6,Other state Board,87.5,Electrical and Electronics Engineering,9.17,High,1,1,0,0,1,Poor,0,3,0
Male,CBSE,84.2,Other state Board,88,Computer Science and Design,8.11,High,1,1,0,1,4,Good,1,8,1
Female,CBSE,82.8,CBSE,61.9,Computer Science in AIML,8.57,High,1,0,0,1,2,Below Average,1,5,1
Female,CBSE,72.6,Other state Board,62.6,Electronics and Communication Engineering,8.04,High,0,0,0,1,5,Excellent,1,7,0
Female,State Board,91,ISE,91.8,Chemical Engineering,7.39,Average,1,1,0,0,1,Poor,1,4,0
Female,CBSE,82.8,ISE,85,Computer Science in Data Science,7.51,High,0,0,1,1,4,Good,0,5,0
Male,State Board,75.4,ISE,83.1,Computer Science in Data Science,7.77,High,0,1,0,1,4,Good,1,7,1
Male,ICSE,90.8,ISE,74.7,Electronics and Communication Engineering,7.32,Average,1,1,0,0,4,Good,0,6,0
Male,State Board,93,Other state Board,66.4,Mechanical Engineering,7.4,Average,0,1,0,1,4,Good,0,6,0
Female,ICSE,78.3,ISE,92.5,Computer Science and Engineering,8.01,High,1,1,0,0,2,Below Average,0,4,0
Female,ICSE,74.1,CBSE,80.1,Electronics and Communication Engineering,7.12,Average,1,0,0,1,4,Good,1,7,1
Male,State Board,78.4,ISE,81.6,Computer Science and Engineering,8.77,High,1,0,0,1,1,Poor,1,4,1
Female,State Board,70.5,WBCHSE,63.9,Electronics and Communication Engineering,7.54,High,1,1,0,1,5,Excellent,1,9,1
Male,State Board,86.7,WBCHSE,71.4,Electronics and Communication Engineering,8.82,High,1,1,0,1,1,Poor,1,5,1
Male,CBSE,95,CBSE,93.2,Computer Science in AIML,7.21,Average,0,0,0,1,4,Good,1,6,1
Male,WBBSE,84.5,Other state Board,67,Electrical and Electronics Engineering,7.2,Average,1,1,1,0,5,Excellent,0,7,0
Male,ICSE,76.8,ISE,82,Computer Science and Engineering,7.79,High,1,0,0,1,4,Good,1,7,1
Male,ICSE,90.8,CBSE,92,Computer Science and Engineering,9.94,High,1,0,1,1,4,Good,0,6,1
Female,WBBSE,73.1,CBSE,66.3,Computer Science and Engineering,8.83,High,1,0,0,1,2,Below Average,1,5,1
Female,CBSE,93.2,CBSE,89,Civil Engineering,8.13,High,1,1,0,1,5,Excellent,1,9,1
Female,State Board,81.8,ISE,74.5,Computer Science and Engineering,9.39,High,0,0,0,1,1,Poor,1,3,1
Female,WBBSE,86.5,WBCHSE,93.4,Computer Science and Design,8.8,High,0,0,1,1,5,Excellent,1,7,0
Male,CBSE,85.5,Other state Board,62.3,Electrical and Electronics Engineering,7.99,High,0,0,1,1,5,Excellent,1,7,0
Female,WBBSE,86.6,Other state Board,71.3,Information Technology,7.65,High,1,0,0,1,3,Average,1,6,1
Male,ICSE,99.2,CBSE,73.4,Information Technology,8.3,High,1,1,0,1,5,Excellent,0,8,0
Male,ICSE,85.1,WBCHSE,87.3,Electronics and Communication Engineering,7.9,High,1,0,1,1,5,Excellent,0,7,0
Male,WBBSE,98.9,WBCHSE,78.6,Computer Science and Engineering,9.55,High,0,0,0,1,3,Average,1,5,0
Female,ICSE,95,ISC,93,Mechanical Engineering,8.2,High,1,0,1,1,3,Average,1,6,1
Female,ICSE,84.3,CBSE,90,Computer Science in Data Science,7,Average,0,1,0,1,4,Good,1,7,1
Female,ICSE,90.3,ISE,83.9,Chemical Engineering,9.36,High,1,1,0,1,1,Poor,1,5,1
Female,State Board,87.3,Other state Board,60.3,Mechanical Engineering,7.17,Average,0,0,0,1,2,Below Average,1,4,1
Male,ICSE,74.6,Other state Board,88,Computer Science in Data Science,9.08,High,1,0,0,1,1,Poor,1,4,1
Female,WBBSE,82.4,Other state Board,92.5,Mechanical Engineering,9.32,High,1,1,0,1,4,Good,1,8,1
Female,ICSE,85,CBSE,87.7,Computer Science and Engineering,8.2,High,1,1,0,1,5,Excellent,1,9,1
Female,CBSE,80.2,WBCHSE,92.4,Mechanical Engineering,8.94,High,1,0,0,1,5,Excellent,1,8,1
Male,CBSE,84,ISE,83.9,Information Technology,8.97,High,1,1,0,1,5,Excellent,1,9,1
Male,CBSE,75.9,Other state Board,85.6,Mechanical Engineering,9.59,High,0,1,0,1,2,Below Average,1,5,1
Female,ICSE,96,ISE,94,Information Technology,9.25,High,1,0,0,1,1,Poor,1,4,1
Male,CBSE,89.3,CBSE,81.4,Information Technology,9.2,High,0,1,1,1,2,Below Average,1,5,1
Male,CBSE,99,Other state Board,84,Chemical Engineering,7.77,High,0,1,0,1,5,Excellent,1,8,1
Male,CBSE,85.2,CBSE,90.1,Electrical and Electronics Engineering,7,Average,0,1,0,1,4,Good,1,7,1
Male,WBBSE,90,WBCHSE,89,Computer Science and Engineering,9.6,High,1,1,1,1,2,Below Average,1,6,1
Female,WBBSE,74,WBCHSE,81.4,Electrical Engineering,7.14,Average,0,1,1,0,5,Excellent,1,7,0
Female,CBSE,81.2,CBSE,71.9,Information Technology,7.17,Average,0,0,0,1,5,Excellent,1,7,1
Male,CBSE,80.3,Other state Board,87.7,Electronics and Communication Engineering,9.09,High,1,0,0,1,5,Excellent,1,8,1
Male,ICSE,97.6,CBSE,85.1,Civil Engineering,7.11,Average,1,0,1,0,2,Below Average,1,4,0
Female,State Board,87.2,MSBTE,82.4,Electronic Engineering,7.8,High,0,1,0,0,2,Below Average,1,4,0
Male,ICSE,89.3,WBCHSE,90.7,Information Technology,9.49,High,1,0,1,1,5,Excellent,0,7,0
Male,State Board,86.7,CBSE,72,Computer Science and Engineering,7.27,Average,1,1,0,1,4,Good,1,8,1
Female,CBSE,89,ISE,93.8,Information Technology,8.33,High,1,1,1,1,3,Average,1,7,0
Male,State Board,85.2,CBSE,88.2,Computer Science and Engineering,8.02,High,1,0,0,1,5,Excellent,1,8,1
Female,ICSE,88,WBCHSE,64.6,Electronics and Communication Engineering,9.37,High,1,0,1,0,2,Below Average,1,4,0
Female,WBBSE,73,WBCHSE,75.9,Electronics and Communication Engineering,7.1,Average,0,1,0,1,3,Average,1,6,1
Female,State Board,96,ISE,85.6,Electronics and Communication Engineering,7.19,Average,1,0,1,1,3,Average,0,5,0
Female,WBBSE,78.4,WBCHSE,66.8,Computer Science and Engineering,8.03,High,0,0,0,0,2,Below Average,0,2,0
Female,CBSE,71.7,CBSE,74.4,Mechanical Engineering,8.43,High,0,0,0,1,1,Poor,0,2,0
Female,CBSE,93,ISE,62.5,Electrical Engineering,9.01,High,1,0,0,1,2,Below Average,1,5,1
Male,CBSE,72.8,Other state Board,94.7,Electrical Engineering,8.09,High,0,1,0,1,3,Average,1,6,1
Male,State Board,96.8,Other state Board,65.8,Electrical Engineering,7.58,High,0,1,0,0,2,Below Average,0,3,0
Female,ICSE,93.2,CBSE,82,Computer Science in AIML,8.4,High,1,1,1,0,1,Poor,0,3,0
Female,ICSE,84.7,CBSE,67.1,Electronics and Communication Engineering,8.62,High,1,0,0,0,2,Below Average,0,3,0
Female,WBBSE,70.1,Other state Board,82.2,Computer Science in Data Science,8.11,High,0,1,1,0,3,Average,1,5,0
Male,CBSE,92.8,Other state Board,68.2,Electronics and Communication Engineering,8.24,High,1,1,0,1,3,Average,1,7,1
Male,ICSE,97.2,CBSE,78.6,Electrical and Electronics Engineering,8.69,High,1,0,1,0,1,Poor,0,2,0
Male,ICSE,99.5,CBSE,77.5,Electronics and Communication Engineering,7.07,Average,1,1,1,1,2,Below Average,0,5,0
Female,ICSE,99.3,ISE,73.8,Computer Science in AIML,7.56,High,0,1,0,1,3,Average,1,6,1
Male,State Board,81.7,ISE,84.4,Computer Science and Engineering,7.75,High,1,1,1,1,4,Good,0,7,0
Female,State Board,99.5,ISE,83.2,Civil Engineering,7.68,High,0,0,1,1,5,Excellent,0,6,0
Female,ICSE,77.1,WBCHSE,66.9,Information Technology,7.16,Average,0,1,0,0,5,Excellent,1,7,0
Male,State Board,80.8,CBSE,85.3,Mechanical Engineering,8.94,High,0,0,1,1,1,Poor,1,3,0
Female,CBSE,88.5,WBCHSE,81.8,Civil Engineering,9.21,High,1,1,1,0,5,Excellent,1,8,0
Male,State Board,90.8,CBSE,62.2,Computer Science and Engineering,7.67,High,1,1,0,1,4,Good,0,7,0
Female,State Board,83.1,ISE,74.5,Computer Science and Engineering,9.39,High,1,1,0,1,2,Below Average,1,6,1
Female,CBSE,90,ISE,86.4,Computer Science and Engineering,7.94,High,1,0,0,1,3,Average,1,6,1
Female,CBSE,71.5,CBSE,70.3,Computer Science and Engineering,8.31,High,0,0,0,1,2,Below Average,1,4,1
Male,WBBSE,95.6,ISE,68.7,Information Technology,9.26,High,1,0,0,1,2,Below Average,1,5,1
Male,ICSE,94.7,CBSE,67.2,Information Technology,9.47,High,1,0,0,1,2,Below Average,1,5,0
Male,CBSE,80.5,WBCHSE,83.1,Computer Science and Engineering,7.41,Average,1,0,0,1,4,Good,0,6,0
Female,ICSE,80.8,ISE,73.5,Computer Science in AIML,8.16,High,1,1,1,1,3,Average,1,7,0
Male,WBBSE,92.5,WBCHSE,93,Electronics and Communication and Engineeing,8.25,High,1,0,0,1,3,Average,1,6,0
Male,State Board,90.1,CBSE,92.3,Electronics and Communication Engineering,7.99,High,1,0,0,1,2,Below Average,1,5,1
Female,WBBSE,86.6,WBCHSE,76,Information Technology,8.17,High,1,0,0,1,5,Excellent,1,8,1
Male,CBSE,83.2,CBSE,69.5,Chemical Engineering,7.12,Average,0,1,0,0,5,Excellent,0,6,0
Male,State Board,57.7,Other state Board,56.7,Computer Science and Engineering,8.26,High,0,1,0,1,3,Average,1,6,0
Male,State Board,77.1,ISE,92.7,Chemical Engineering,9.05,High,1,1,0,1,2,Below Average,0,5,0
Female,State Board,91.1,CBSE,91.1,Electrical and Electronics Engineering,8.08,High,1,1,1,0,4,Good,0,6,0
Male,State Board,95.8,Other state Board,72.1,Electronics and Communication Engineering,9.37,High,0,0,0,1,1,Poor,1,3,1
Female,CBSE,71.6,Other state Board,63.3,Information Technology,9.36,High,1,1,0,1,1,Poor,1,5,1
Male,State Board,99.7,ISE,93.3,Chemical Engineering,8.3,High,1,1,1,0,2,Below Average,0,4,0
Female,State Board,79.9,ISE,79,Computer Science and Engineering,9.14,High,1,0,1,1,1,Poor,0,3,0
Male,ICSE,75,CBSE,70,Electronics and Communication and Engineeing,8,High,0,1,1,1,2,Below Average,1,5,1
Female,ICSE,86.3,Other state Board,85.1,Electrical Engineering,9.13,High,1,1,0,1,1,Poor,1,5,1
Male,ICSE,82,Other state Board,71.7,Chemical Engineering,8.15,High,0,1,1,0,5,Excellent,0,6,0
Female,CBSE,82.4,Other state Board,72.3,Computer Science and Engineering,7.59,High,1,0,0,1,3,Average,1,6,0
Male,CBSE,79.8,CBSE,88.8,Electronics and Communication Engineering,9.07,High,1,1,0,1,5,Excellent,1,9,1
Male,State Board,61,Other state Board,53,Computer Science and Engineering,7.1,Average,1,1,1,1,3,Average,1,7,0
Female,CBSE,71.2,Other state Board,81.1,Electronics and Communication Engineering,8.68,High,1,1,0,1,3,Average,1,7,1
Male,State Board,80.4,WBCHSE,92.1,Electrical Engineering,8.66,High,0,1,0,1,1,Poor,1,4,1
Female,CBSE,72,ISE,84.8,Computer Science in Data Science,7.5,Average,1,0,1,0,3,Average,1,5,0
Male,CBSE,72.2,Other state Board,88.6,Electronics and Communication Engineering,7.85,High,1,1,0,1,5,Excellent,1,9,1
Female,CBSE,88.2,CBSE,78.1,Computer Science in Data Science,7.78,High,1,1,1,1,4,Good,1,8,0
Male,State Board,73.8,ISE,77.6,Electrical and Electronics Engineering,8.22,High,0,1,1,0,2,Below Average,1,4,0
Female,ICSE,86.8,CBSE,71.6,Information Technology,8.15,High,1,1,0,0,2,Below Average,0,4,0
Female,CBSE,78.8,CBSE,60.9,Electronics and Communication Engineering,8.06,High,1,1,0,0,1,Poor,0,3,0
Male,State Board,96.5,ISE,78.4,Computer Science and Engineering,7.71,High,1,1,0,1,1,Poor,0,4,0
Male,State Board,88.8,CBSE,69.3,Computer Science and Engineering,8.02,High,0,1,0,1,4,Good,1,7,1
Male,WBBSE,85.4,WBCHSE,75.6,Electrical Engineering,9.16,High,1,0,0,1,1,Poor,1,4,1
Female,ICSE,78.2,ISE,74.7,Computer Science and Engineering,8.65,High,1,1,0,1,5,Excellent,1,9,1
Female,State Board,80,Other state Board,62.3,Computer Science in Data Science,8.68,High,0,0,0,1,2,Below Average,1,4,1
Female,WBBSE,80.8,WBCHSE,85.4,Civil Engineering,8.41,High,1,1,0,0,3,Average,1,6,0
Female,WBBSE,97.9,WBCHSE,63.1,Chemical Engineering,9.3,High,1,1,1,1,1,Poor,0,4,0
Male,CBSE,87.5,WBCHSE,77.8,Mechanical Engineering,8.01,High,0,0,1,1,5,Excellent,1,7,0
Male,ICSE,79.9,ISE,82.9,Computer Science and Engineering,8.45,High,1,1,0,1,1,Poor,1,5,1
Female,ICSE,86.2,CBSE,76.8,Electrical and Electronics Engineering,9.12,High,0,1,0,0,2,Below Average,1,4,0
Male,ICSE,79.6,ISE,68,Electrical and Electronics Engineering,7.92,High,0,0,1,0,4,Good,1,5,0
Female,WBBSE,98.4,Other state Board,72.6,Computer Science in AIML,9.24,High,1,0,0,1,1,Poor,1,4,1
Female,ICSE,94.1,WBCHSE,68.6,Computer Science in AIML,8.99,High,1,1,1,1,2,Below Average,0,5,0
Female,WBBSE,70,ISE,66.3,Electrical Engineering,7.24,Average,0,0,0,1,4,Good,1,6,1
Male,State Board,85.7,CBSE,63.1,Civil Engineering,7.14,Average,0,1,0,0,5,Excellent,0,6,0
Female,WBBSE,84.3,ISE,86.1,Mechanical Engineering,8.35,High,0,1,0,1,3,Average,1,6,1
Female,State Board,97.5,ISE,69.4,Information Technology,8.93,High,1,1,0,1,2,Below Average,1,6,0
Male,ICSE,91.1,CBSE,65.6,Computer Science and Engineering,8.8,High,1,1,0,1,1,Poor,1,5,1
Female,WBBSE,83.7,CBSE,79.9,Computer Science in Data Science,9.29,High,1,1,1,0,2,Below Average,0,4,0
Female,WBBSE,73.6,CBSE,84.2,Computer Science and Engineering,8.4,High,1,0,0,1,2,Below Average,1,5,1
Male,CBSE,99.9,CBSE,65.1,Computer Science in AIML,9.11,High,1,1,0,1,2,Below Average,1,6,1
Male,CBSE,71.1,CBSE,81.1,Computer Science in AIML,7.65,High,1,1,0,1,2,Below Average,1,6,1
Female,State Board,94.3,Other state Board,90.9,Computer Science in Data Science,7.86,High,1,1,0,1,4,Good,1,8,1
Female,WBBSE,74.4,WBCHSE,82.3,Civil Engineering,7.22,Average,0,1,0,1,3,Average,1,6,1
Female,State Board,82,Other state Board,83,Computer Science and Engineering,6.5,Average,1,1,0,1,4,Good,1,8,0
Male,State Board,83.5,ISE,72.5,Computer Science and Engineering,8.62,High,1,0,0,1,5,Excellent,1,8,1
Male,WBBSE,88.6,WBCHSE,82.6,Information Technology,9.32,High,1,0,0,1,3,Average,1,6,1
Male,State Board,73.8,BSEB,70.3,Electrical Engineering,8.89,High,1,1,0,1,4,Good,1,8,0
Male,ICSE,98.8,ISE,85.3,Electronics and Communication Engineering,7.16,Average,1,0,0,1,2,Below Average,1,5,1
Female,State Board,83.9,CBSE,74.9,Electronics and Communication Engineering,8.15,High,0,1,0,1,2,Below Average,1,5,1
Male,ICSE,78.7,Other state Board,60.9,Electronics and Communication Engineering,7.5,Average,1,1,0,1,2,Below Average,1,6,1
Male,CBSE,45,WBCHSE,45,Computer Science and Engineering,5.5,Low,0,1,0,1,3,Average,1,6,1
Male,WBBSE,70,WBCHSE,82,Computer Science and Design,8.3,High,1,0,0,1,3,Average,1,6,1
Male,WBBSE,82.3,ISE,68.1,Chemical Engineering,8.26,High,0,0,1,1,2,Below Average,1,4,0
Male,ICSE,82.4,ISE,82.9,Information Technology,8.06,High,1,0,0,0,5,Excellent,1,7,0
Female,CBSE,74.8,ISE,84.9,Computer Science and Engineering,7.42,Average,1,0,0,1,1,Poor,1,4,1
Male,CBSE,94.6,ISE,84.9,Computer Science in Data Science,8.68,High,1,1,1,0,2,Below Average,1,5,0
Male,CBSE,86.4,ISE,72.3,Electronics and Communication Engineering,9.35,High,1,1,1,0,5,Excellent,0,7,0
Female,WBBSE,88.6,WBCHSE,65.8,Computer Science in AIML,7.37,Average,0,1,1,0,2,Below Average,1,4,0
Male,State Board,97.8,ISE,94.2,Civil Engineering,9.19,High,1,0,0,1,5,Excellent,1,8,1
Female,ICSE,88.8,CBSE,89.1,Computer Science and Engineering,8.34,High,1,1,0,0,1,Poor,1,4,0
Female,State Board,86.7,CBSE,86.7,Computer Science and Engineering,7.77,High,1,0,0,1,2,Below Average,1,5,1
Male,CBSE,83.5,CBSE,61.1,Electrical Engineering,8.85,High,0,0,0,1,1,Poor,1,3,1
Male,ICSE,99.8,ISE,75.4,Electronics and Communication Engineering,7.89,High,1,1,1,1,5,Excellent,1,9,0
Male,WBBSE,94.2,CBSE,90,Electronics and Communication Engineering,7.89,High,1,0,0,0,3,Average,1,5,0
